tomb;flower;torch;demon;priority
4;1;1;1;8
3;3;4;0;1
1;1;4;1;14
2;4;5;1;10
2;5;0;1;13
3;2;7;2;10
4;3;1;1;8
2;0;2;1;15
0;4;6;0;12
1;1;2;1;15
4;3;5;2;11
4;2;1;2;13
4;4;7;2;10
0;3;2;1;19
1;5;6;0;8
4;2;0;3;24
2;0;7;3;28
4;2;4;1;6
0;3;3;0;14
2;0;0;1;17
1;4;0;3;32
2;2;5;1;10
5;5;6;2;10
5;3;6;0;0
3;1;7;2;10
1;5;2;2;20
4;5;5;2;11
5;0;1;0;7
5;1;4;2;11
0;4;5;2;23
1;5;4;0;9
2;4;0;3;28
0;4;1;3;35
1;1;7;1;13
5;2;7;1;5
2;3;1;1;12
2;4;0;2;18
4;5;4;0;1
5;4;2;2;12
2;5;6;3;24
2;2;6;1;9
4;3;6;1;5
5;5;6;0;0
1;5;0;1;17
2;4;1;3;27
3;5;4;0;1
0;5;0;0;16
0;3;0;2;26
1;1;2;3;30
2;5;6;3;24
2;3;0;1;13
1;1;0;0;12
1;2;1;1;16
1;5;6;1;13
0;1;3;0;14
3;2;3;3;22
1;2;5;0;9
3;2;3;2;12
4;3;3;1;7
2;4;3;2;16
1;3;5;3;29
3;5;4;3;21
4;2;3;3;22
4;0;6;2;14
5;0;6;2;14
1;0;4;2;23
4;5;4;0;1
0;0;4;3;37
0;0;1;2;29
4;0;0;2;18
1;5;7;2;18
5;5;7;2;10
0;2;0;1;21
3;0;5;1;10
3;3;7;3;20
5;4;6;3;20
0;4;6;3;32
0;4;6;0;12
0;2;1;0;15
5;3;4;0;1
2;4;2;0;6
5;2;7;2;10
5;4;0;3;24
2;3;4;2;15
3;1;1;0;3
0;0;4;0;17
0;5;3;0;14
3;5;0;2;14
1;4;2;0;10
0;1;7;0;12
0;3;1;3;35
2;3;2;0;6
0;4;3;1;19
1;4;6;0;8
5;1;1;0;3
1;1;2;2;20
4;2;4;1;6
5;4;6;1;5
3;3;0;2;14
2;5;1;1;12
5;5;3;1;7
5;3;4;2;11
3;5;1;1;8
4;2;5;1;6
4;4;1;2;13
2;0;4;1;14
5;3;4;1;6
1;5;7;0;8
5;4;4;3;21
1;1;3;0;10
3;3;4;3;21
2;1;1;2;17
2;0;0;0;12
3;0;1;1;12
5;0;6;0;4
2;4;0;0;8
0;2;7;2;22
2;2;6;2;14
5;2;0;3;24
3;3;7;0;0
4;5;2;1;7
5;0;6;1;9
5;5;5;3;21
1;5;2;1;15
4;1;4;3;21
0;5;4;0;13
2;0;2;3;30
3;2;6;1;5
2;1;5;1;10
1;4;4;0;9
0;4;0;0;16
5;0;4;3;25
2;5;4;1;10
5;5;4;0;1
5;1;7;2;10
3;1;0;1;9
1;4;2;0;10
3;3;2;3;22
0;3;1;0;15
5;2;5;3;21
0;1;1;0;15
4;1;2;3;22
0;1;2;2;24
2;0;3;3;30
0;5;6;3;32
0;3;5;3;33
0;5;5;0;13
0;1;2;3;34
5;0;6;3;24
3;0;2;0;6
3;4;3;0;2
2;0;5;2;19
3;1;3;3;22
4;5;5;1;6
0;4;1;1;20
0;0;5;0;17
4;1;3;3;22
2;1;0;1;13
5;5;1;3;23
1;0;3;1;19
1;4;4;3;29
3;2;3;3;22
4;1;0;1;9
4;2;6;0;0
3;1;0;1;9
3;1;2;1;7
1;5;4;3;29
3;5;1;2;13
3;5;5;3;21
0;3;4;1;18
0;3;5;3;33
1;4;3;1;15
5;5;6;2;10
3;0;7;2;14
2;3;7;3;24
4;2;3;1;7
1;5;6;0;8
2;3;1;0;7
0;0;6;3;36
0;4;5;1;18
5;1;7;3;20
1;4;1;3;31
4;4;7;1;5
1;3;3;1;15
5;1;5;2;11
3;0;2;3;26
1;4;7;0;8
2;5;7;0;4
0;2;2;1;19
3;4;6;3;20
1;2;1;1;16
1;5;6;0;8
3;4;2;0;2
3;4;7;1;5
5;1;4;2;11
5;5;2;2;12
0;5;2;2;24
1;4;7;0;8
5;2;6;2;10
1;2;2;3;30
2;0;5;3;29
3;3;5;3;21
3;5;1;1;8
1;5;0;2;22
3;2;2;1;7
3;4;4;3;21
3;3;4;1;6
4;3;4;0;1
2;4;6;3;24
5;1;4;3;21
4;4;2;2;12
5;0;1;2;17
5;4;7;3;20
5;2;2;0;2
0;2;0;1;21
0;0;4;1;22
4;1;5;2;11
1;5;2;1;15
0;5;6;2;22
2;2;6;0;4
3;3;1;3;23
2;3;0;1;13
2;2;3;3;26
1;2;3;3;30
4;5;1;3;23
4;0;7;1;9
2;4;7;3;24
4;5;5;3;21
2;0;0;2;22
2;5;6;0;4
1;4;0;0;12
3;4;2;3;22
1;0;7;1;17
4;2;1;3;23
2;5;0;2;18
0;0;0;1;25
3;1;6;3;20
0;0;0;0;20
2;2;5;3;25
3;3;0;3;24
5;4;1;3;23
3;4;3;2;12
1;5;6;3;28
3;1;5;3;21
1;4;5;1;14
1;1;5;3;29
1;1;2;2;20
1;3;5;0;9
1;0;1;1;20
3;4;3;3;22
