tomb;flower;torch;demon;priority
2;3;4;1;10
0;1;5;1;18
1;2;0;1;17
0;1;7;2;22
3;3;4;1;6
1;4;7;1;13
0;4;4;1;18
1;3;3;3;30
3;1;7;2;10
3;5;0;3;24
2;1;7;0;4
3;4;1;1;8
0;1;1;2;25
5;2;1;2;13
5;5;1;1;8
5;2;5;0;1
0;1;3;3;34
2;2;0;0;8
0;4;4;3;33
3;1;7;3;20
4;2;4;3;21
5;5;7;2;10
4;0;4;2;15
5;0;7;1;9
5;4;5;0;1
1;0;2;1;19
4;1;7;1;5
4;1;1;0;3
3;3;5;2;11
0;0;4;2;27
1;1;4;0;9
2;1;2;0;6
5;1;6;0;0
3;5;7;3;20
5;3;4;2;11
4;0;5;0;5
3;0;4;0;5
4;5;0;2;14
4;3;6;1;5
5;0;5;2;15
5;2;1;3;23
5;3;6;3;20
5;2;4;1;6
5;1;4;1;6
3;3;4;0;1
2;4;4;3;25
2;3;4;0;5
0;4;1;1;20
0;5;0;0;16
5;4;7;2;10
